Variable:,pr
Country:,Colombia
Subnational-unit:,Antioquia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,73.46,60.93,179.09,160.50,386.29,341.33,169.65,304.23,258.34,326.90,239.73,169.15
1963,94.61,167.03,185.47,321.66,275.23,212.96,249.30,259.20,215.66,289.68,271.01,108.03
1964,49.89,65.26,46.44,315.01,254.19,353.40,441.56,262.56,233.54,287.76,263.16,124.50
1965,90.49,69.85,65.88,223.27,267.96,133.44,117.33,263.66,238.96,266.68,301.35,118.85
1966,76.16,76.56,101.40,197.39,244.10,311.99,176.02,314.59,243.99,313.94,363.18,249.60
1967,96.05,91.59,122.56,222.72,556.91,332.80,184.91,145.76,268.69,221.41,219.51,124.10
1968,87.24,108.83,159.60,242.21,303.04,342.23,192.46,231.22,275.63,287.73,323.38,108.48
1969,127.17,62.94,51.11,282.35,230.07,236.49,133.42,289.73,315.08,376.57,234.22,154.78
1970,146.22,100.01,97.96,325.18,331.68,282.01,247.96,264.18,324.80,380.67,351.40,197.36
1971,271.87,197.61,253.06,214.52,398.94,243.90,238.75,344.33,293.69,272.77,229.85,112.91
1972,174.68,74.01,137.47,322.15,292.86,267.02,142.05,227.32,217.41,224.35,235.24,129.28
1973,45.11,70.68,65.90,131.53,231.34,269.11,276.25,333.43,389.53,510.79,359.54,274.81
1974,155.13,178.06,212.96,358.66,295.78,214.78,231.60,313.88,340.59,315.48,327.73,76.26
1975,50.10,127.62,137.57,270.02,361.66,226.52,438.21,305.91,225.75,604.45,277.91,272.99
1976,79.47,126.47,143.61,242.08,247.43,257.64,212.12,155.06,194.34,319.41,199.72,110.58
1977,49.33,43.51,106.20,263.47,215.47,278.58,221.93,254.73,301.05,255.47,231.21,132.92
1978,63.85,59.91,175.91,288.31,317.01,303.00,234.12,223.57,267.85,257.72,226.29,156.70
1979,72.86,69.70,113.25,268.57,304.80,306.08,216.92,311.80,253.94,344.11,334.13,158.15
1980,140.84,84.03,74.82,252.31,197.42,248.48,220.64,213.84,250.33,258.77,240.08,207.17
1981,80.92,146.06,165.27,321.36,501.82,290.70,240.30,361.12,280.18,544.46,229.51,208.84
1982,189.90,128.95,150.04,298.25,327.90,164.67,172.11,156.79,253.92,345.09,174.08,135.88
1983,51.07,98.60,137.87,308.64,325.72,181.55,219.87,186.75,206.13,282.55,202.51,212.88
1984,217.03,146.50,115.73,239.61,300.70,349.77,254.31,379.05,383.13,344.32,291.65,108.99
1985,123.90,39.08,128.37,158.01,280.54,234.72,244.51,357.57,392.77,318.60,268.75,194.47
1986,103.02,168.81,110.31,284.43,508.72,261.37,120.26,217.93,248.00,438.57,249.06,83.88
1987,63.07,45.55,105.97,254.56,356.02,155.40,337.19,224.46,338.72,396.02,281.48,129.69
1988,79.16,121.63,85.90,222.19,220.10,280.83,282.63,507.82,407.08,352.35,426.15,235.39
1989,116.06,121.58,235.10,170.51,271.11,272.63,177.61,290.24,355.42,291.66,204.93,208.48
1990,91.33,109.60,159.03,226.37,269.89,175.76,286.88,227.62,251.45,389.20,277.73,213.32
1991,84.98,52.68,226.94,155.42,261.91,204.88,208.68,210.38,256.09,196.42,260.12,154.14
1992,77.27,59.20,66.63,146.47,213.38,180.39,172.08,242.68,320.62,150.97,245.38,164.64
1993,134.26,93.36,131.35,202.70,203.68,95.27,180.62,222.39,360.53,213.52,362.06,174.56
1994,133.87,111.57,160.58,207.42,234.08,209.52,201.85,188.15,210.06,313.66,328.42,125.34
1995,50.19,62.66,143.87,226.76,326.03,287.16,340.40,354.83,238.89,285.53,260.07,234.62
1996,172.25,131.32,222.12,174.83,364.17,316.91,318.37,335.99,240.06,334.02,224.93,153.06
1997,238.06,119.36,107.99,193.83,188.64,339.33,100.98,104.78,229.55,181.49,242.13,80.00
1998,38.29,95.50,109.87,210.96,358.73,231.71,332.22,306.10,330.02,324.80,292.35,286.64
1999,163.50,202.21,163.92,227.35,241.30,357.80,185.71,305.22,464.77,363.30,341.31,263.94
2000,142.37,185.08,183.32,172.91,374.46,320.62,351.45,268.12,395.52,245.26,245.75,173.15
2001,110.10,65.62,152.00,128.21,270.61,224.10,192.53,244.40,296.38,236.17,336.01,216.35
2002,74.22,47.69,177.42,287.57,326.45,255.78,230.81,223.43,303.97,228.06,204.79,161.07
2003,55.86,74.93,154.15,229.53,208.45,372.49,206.45,261.46,254.65,273.52,358.66,239.46
2004,82.47,107.20,97.60,284.27,338.39,189.64,218.51,259.24,311.63,340.96,316.53,160.82
2005,128.38,118.32,150.96,196.81,391.51,263.19,183.43,286.59,273.05,329.06,312.74,176.57
2006,190.05,112.53,223.22,216.48,358.40,354.19,192.81,252.04,250.34,310.10,282.04,236.47
2007,81.69,57.53,170.68,283.59,348.91,280.53,226.68,416.84,298.96,334.99,307.42,197.51
2008,97.42,125.03,175.04,207.36,414.42,314.22,389.60,392.00,249.25,313.27,349.36,246.48
2009,146.88,127.73,217.56,179.44,234.28,254.88,178.23,302.25,240.75,316.60,230.72,151.10
