Country,ISO2,ISO3,Indicator,Code,Unit,Source,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Colombia,CO,COL,"Climate related disasters frequency, Number of Disasters: Drought",ECFRF_NUM,Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be",,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
Colombia,CO,COL,"Climate related disasters frequency, Number of Disasters: Flood",ECFRF_NUM,Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be",1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,4.0,,,1.0,3.0,1.0,2.0,1.0,,3.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,2.0,4.0,2.0,5.0,3.0,10.0
Colombia,CO,COL,"Climate related disasters frequency, Number of Disasters: Landslide",ECFRF_NUM,Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be",,1.0,1.0,,,,3.0,2.0,,,,3.0,,2.0,,1.0,1.0,,1.0,2.0,,2.0,1.0,1.0,,,,,1.0,2.0,2.0,1.0,,,,1.0,,2.0,,1.0,1.0,1.0
Colombia,CO,COL,"Climate related disasters frequency, Number of Disasters: Storm",ECFRF_NUM,Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be",,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,2.0,
Colombia,CO,COL,"Climate related disasters frequency, Number of Disasters: TOTAL",ECFRF_NUM,Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be",1.0,2.0,2.0,1.0,1.0,,5.0,3.0,2.0,1.0,4.0,4.0,,3.0,3.0,2.0,3.0,1.0,2.0,6.0,3.0,6.0,5.0,4.0,2.0,4.0,1.0,4.0,3.0,3.0,6.0,3.0,3.0,1.0,5.0,4.0,2.0,7.0,2.0,6.0,6.0,11.0
Colombia,CO,COL,"Climate related disasters frequency, Number of Disasters: Wildfire",ECFRF_NUM,Number of,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be",,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,
